hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
14587,HIP14587,47.093333,-60.172500,21.4000,K5V,-49.6016,0,E17
14632,HIP14632,47.266667,49.613056,10.5000,G0V,-7.3804,0,E17
14633,HIP14633,47.268750,76.041111,21.3000,M0,15.3905,0,E17
14668,HIP14668,47.374167,44.857500,34.4000,K0III,-11.4321,0,E17
14669,HIP14669,47.378333,45.732500,15.4000,M2,-10.6800,0,E17
14729,HIP14729,47.563333,12.050278,27.0000,K5,-38.3414,0,E17
14862,HIP14862,47.984583,74.393611,49.6000,A2Vnn,14.0839,0,E17
14954,HIP14954,48.193333,-1.196111,22.3000,F8V,-47.3418,1,E17
15095,HIP15095,48.685833,-26.446111,18.3000,K5V,-58.1204,0,E17
15099,HIP15099,48.696667,8.980556,22.2000,K0,-39.9019,0,E17
15131,HIP15131,48.776667,-45.664722,24.3000,G3V,-56.0847,0,E17
15197,HIP15197,48.958333,-8.819722,36.7000,A5m,-51.3085,0,E17
15201,HIP15201,48.990417,-77.388333,29.3000,F4III,-37.0083,0,E17
15220,HIP15220,49.057500,58.167222,13.4000,M2,0.4921,0,E17
15330,HIP15330,49.442500,-62.575278,12.1000,G2V,-47.2141,0,E17
15371,HIP15371,49.553333,-62.506111,12.0000,G1V,-47.2172,0,E17
15411,HIP15411,49.671250,-18.559722,36.5000,F3V,-55.1460,0,E17
15457,HIP15457,49.840417,3.370000,9.1500,G5Vvar,-43.0723,0,E17
15510,HIP15510,49.981667,-43.069722,6.0500,G8V,-56.0770,1,E17
15638,HIP15638,50.340833,79.967222,13.7000,M2:,19.0246,0,E17
15648,HIP15648,50.360833,43.329444,47.6000,A3V,-11.5786,0,E17
15673,HIP15673,50.478333,52.331389,22.7000,K5,-4.0055,0,E17
15771,HIP15771,50.816250,-49.993889,19.9000,K0,-53.1679,0,E17
15774,HIP15774,50.821667,-49.991667,19.7000,K3V,-53.1656,0,E17
15797,HIP15797,50.889583,43.957222,25.5000,K2,-10.8440,0,E17
15799,HIP15799,50.897083,-40.076389,17.0000,K0V,-56.0917,1,E17
15919,HIP15919,51.248750,-5.363611,15.1000,K5V,-47.4892,0,E17
16069,HIP16069,51.746667,-63.498889,16.3000,K5V,-45.8228,1,E17
16134,HIP16134,51.968333,-19.804444,12.6000,K5V,-53.5362,0,E17
16245,HIP16245,52.344583,-62.937500,21.4000,F5IV-V,-45.9361,0,E17
16499,HIP16499,53.109583,46.056667,36.4000,F4IIIva,-8.2246,0,E17
GJ144,GJ144,53.232500,-9.458056,3.2100,K2.0V,-48.0514,0,E17
16536,HIP16536,53.232917,-44.701944,10.8000,---,-53.3861,0,E17
16711,HIP16711,53.753750,-48.418889,13.3000,K7V,-51.9599,1,E17
GJ1061,GJ1061,53.998750,-44.512500,3.6700,M5.0V,-52.9049,1,E17
16846,HIP16846,54.197083,0.587500,28.9000,G5IV/V,-41.5689,0,E17
16852,HIP16852,54.218333,0.401389,13.7000,F9V,-41.6671,0,E17
17027,HIP17027,54.754583,-5.626111,35.1000,K1V,-44.7481,0,E17
LP944-020,LP944-020,54.896667,-35.428056,4.9600,M9.0V,-53.4117,0,E17
17147,HIP17147,55.092083,-3.216944,24.3000,F9V,-43.1191,0,E17
17157,HIP17157,55.122500,-47.925000,25.1000,K7,-51.2446,0,E17
