hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper,object_type
103311,HIP103311,313.94864512184,-17.11418381438,,,,,,HighPM*
103347,HIP103347,314.07606271874,-3.56169145138,,,,,,Variable*
103349,HIP103349,314.07904049032,-12.1699239308242,,,,,,HighPM*
103365,HIP103365,314.12002393482,9.00644227182,,,,,,Star
103381,HIP103381,314.1822480775961,12.9927021728817,,,,,,Star
103386,HIP103386,314.19087835576,-15.85129073078,,,,,,Star
103458,HIP103458,314.4169530090684,-44.1293702783311,,,,,,HighPM*
103489,HIP103489,314.51053285447,12.54139782723,,,,,,Star
103543,HIP103543,314.67272350532,72.33000663494,,,,,,Star
10359,HIP10359,33.37814312848,-7.39395534587,,,,,,HighPM*
10360,HIP10360,33.38818060093,-9.75282330468,,,,,,SB*
103601,HIP103601,314.86544074304,-16.87959982122,,,,,,SB*
10365,HIP10365,33.39619929787,-8.81633938581,,,,,,SB*
103730,HIP103730,315.28923940906,11.95345131762,,,,,,Star
103749,HIP103749,315.3587499729,40.61799754124,,,,,,**
103778,HIP103778,315.44039241344,11.55786232138,,,,,,Star
103782,HIP103782,315.45860903,39.26061157,,,,,,**
103793,HIP103793,315.47950627041,40.31112813109,,,,,,SB*
103798,HIP103798,315.49325501084,13.32444985968,,,,,,Star
1038,HIP1038,3.25030219349,12.33095406251,,,,,,HighPM*
103858,HIP103858,315.66788648059,11.65709092491,,,,,,Star
103869,HIP103869,315.69779530707,11.28011312682,,,,,,Star
103878,HIP103878,315.73337202051,12.9521611463,,,,,,Star
103910,HIP103910,315.8081098511338,-56.9634282490894,,,,,,HighPM*
10395,HIP10395,33.4734393027179,-32.0412421233464,,,,,,HighPM*
103987,HIP103987,316.0308043417237,2.9944805061156,,,,,,SB*
104020,HIP104020,316.11183496041,65.0207360683,,,,,,Star
104138,HIP104138,316.48637408426,1.86432095236,,,,,,HighPM*
10419,HIP10419,33.56523599506,6.00973346857,,,,,,HighPM*
104208,HIP104208,316.68795961773,43.78180756041,,,,,,Star
104297,HIP104297,316.93622634401,-17.45590131773,,,,,,HighPM*
104315,HIP104315,316.97693248292,1.51488616521,,,,,,Star
104344,HIP104344,317.071520205,43.7477052037,,,,,,HighPM*
104354,HIP104354,317.11059484929,41.58617876997,,,,,,Star
10444,HIP10444,33.64779792439,-12.91282733567,,,,,,Star
104440,HIP104440,317.3436066586767,-73.172816818077,,,,,,SB*
104502,HIP104502,317.53125119687,65.68627742254,,,,,,Star
104524,HIP104524,317.59363214596,-16.95859209513,,,,,,SB*
10453,HIP10453,33.6756494277146,30.3947872107247,,,,,,Star
104644,HIP104644,317.9565340370491,-43.6136527459878,,,,,,HighPM*
104654,HIP104654,317.98880367356,-11.51207482287,,,,,,Star
104715,HIP104715,318.18472663143,49.32961699017,,,,,,SB*
104743,HIP104743,318.3070978583,-4.26672911444,,,,,,SB*
104782,HIP104782,318.4052329390499,22.62615678369,,,,,,Star
104785,HIP104785,318.41445517093,-9.62825550215,,,,,,SB*
104788,HIP104788,318.42701096,64.40395283,,,,,,**
104789,HIP104789,318.43223087435,48.06145599702,,,,,,Star
104808,HIP104808,318.50646666817,-11.18165210605,,,,,,Star
104823,HIP104823,318.54437346108,50.08159878534,,,,,,Star
104874,HIP104874,318.6597115935699,21.24901932588,,,,,,Star
104878,HIP104878,318.6712979383,-0.8319477019,,,,,,**
104893,HIP104893,318.71042828425,-2.03474202774,,,,,,Star
104946,HIP104946,318.87679414961,-5.46475091828,,,,,,HighPM*
104990,HIP104990,318.96672474734,19.71424508967,,,,,,Variable*
104992,HIP104992,318.96753705652,21.29689714766,,,,,,HighPM*
10500,HIP10500,33.8414817579662,7.4941857311647,,,,,,HighPM*
105066,HIP105066,319.25888462475,-1.07742780045,,,,,,BYDraV*
105128,HIP105128,319.4281654175,20.50535507247,,,,,,Star
105164,HIP105164,319.54613624695,-4.51947989547,,,,,,Star
105183,HIP105183,319.61289442505,-3.68019749081,,,,,,HighPM*
105184,HIP105184,319.6136234362499,-43.33465085068,,,,,,HighPM*
105232,HIP105232,319.74258154051,26.23054470251,,,,,,BYDraV*
105238,HIP105238,319.75076050319,26.09004987839,,,,,,SB*
105261,HIP105261,319.8260500768262,-0.555307505835,,,,,,HighPM*
105301,HIP105301,319.9201887123,-5.48708828117,,,,,,Star
105312,HIP105312,319.9401113642257,-26.3528887014197,,,,,,SB*
105319,HIP105319,319.96662273615,-53.44942607516,,,,,,**
105355,HIP105355,320.09378273497,19.2208898371,,,,,,Star
105359,HIP105359,320.10757473572,-2.0620162912,,,,,,HighPM*
105361,HIP105361,320.11219404365,47.87600128487,,,,,,Star
105409,HIP105409,320.26114373877,0.67440135975,,,,,,HighPM*
105478,HIP105478,320.45966831562,1.36162142992,,,,,,Star
105482,HIP105482,320.46788953096,24.67239496354,,,,,,Star
105483,HIP105483,320.47366660824,-4.1742982891,,,,,,HighPM*
105484,HIP105484,320.47787910227,25.81531120448,,,,,,Star
105504,HIP105504,320.5324139813399,-10.5133029608,,,,,,Star
105510,HIP105510,320.54932966773,25.00674473333,,,,,,HighPM*
10552,HIP10552,33.97251973,6.62633221,,,,,,**
105555,HIP105555,320.67420187918,47.61621232511,,,,,,Star
105584,HIP105584,320.7845916950899,48.51891005686,,,,,,SB*
105589,HIP105589,320.79771373554,-10.58824798935,,,,,,HighPM*
105594,HIP105594,320.82254212354,64.99956770337,,,,,,Star
10560,HIP10560,33.98563291884,79.17916765184,,,,,,Star
105610,HIP105610,320.85525605104,65.03405071608,,,,,,Star
105625,HIP105625,320.8988570582433,64.927238631232,,,,,,Star
105675,HIP105675,321.06303930742,-58.69230432768,,,,,,HighPM*
105688,HIP105688,321.09448731335,30.93662872259,,,,,,SB*
105700,HIP105700,321.12826782,30.25484503,,,,,,**
105712,HIP105712,321.1688420658537,-68.227924401427,,,,,,SB*
105715,HIP105715,321.1728478764691,-4.340991436733,,,,,,**
105729,HIP105729,321.21531341145,-3.39835620009,,,,,,HighPM*
105761,HIP105761,321.3042624136999,-9.74855717873,,,,,,HighPM*
105858,HIP105858,321.6108540943637,-65.3661980715336,,,,,,HighPM*
105905,HIP105905,321.7435542941621,-56.1252628407756,,,,,,HighPM*
105911,HIP105911,321.7554979543979,-44.8086036323539,,,,,,SB*
10595,HIP10595,34.10675104788,70.49274058765,,,,,,Star
105994,HIP105994,322.00868231283,-5.61983139563,,,,,,Star
106097,HIP106097,322.3778467705,21.47491391298,,,,,,HighPM*
106107,HIP106107,322.40186041609,30.7287818604,,,,,,Star
106163,HIP106163,322.56331059145,-4.50194048438,,,,,,Star
106184,HIP106184,322.60767201223,44.87499082078,,,,,,SB*
106223,HIP106223,322.73768869786,16.57099186609,,,,,,gammaDorV*
10626,HIP10626,34.19741130783,43.77299617856,,,,,,HighPM*
106296,HIP106296,322.93514155292,22.23568573837,,,,,,HighPM*
106355,HIP106355,323.11255903482,23.39458490835,,,,,,Star
